asset_class,asset,model,cv_accuracy,cv_accuracy_std,test_accuracy
Futures,NIFTY_50_Options,RandomForest,0.4902439024390244,0.16423166701982853,0.43548387096774194
Futures,NIFTY_50_Options,LogisticRegression,0.4878048780487805,0.12047891741686312,0.4112903225806452
Futures,RELIANCE_Futures,CatBoost,0.5048780487804878,0.07501734877673022,0.41935483870967744
Futures,RELIANCE_Futures,XGBoost,0.5048780487804878,0.10249707994853997,0.49193548387096775
Futures,RELIANCE_Futures,LightGBM,0.5024390243902439,0.10301810771679451,0.5725806451612904
Futures,RELIANCE_Futures,RandomForest,0.5,0.0698430295769578,0.46774193548387094
Futures,RELIANCE_Futures,LogisticRegression,0.4439024390243903,0.054864496971717046,0.41935483870967744
Stocks,N50_ADANIENT,CatBoost,0.4806451612903226,0.048637345711391985,0.5373665480427047
Stocks,N50_ADANIENT,XGBoost,0.4559139784946236,0.0521699332073471,0.5907473309608541
Stocks,N50_ADANIENT,LightGBM,0.4709677419354839,0.05152321957295025,0.5231316725978647
Stocks,N50_ADANIENT,RandomForest,0.4580645161290322,0.04825549606949866,0.5587188612099644
Stocks,N50_ADANIENT,LogisticRegression,0.4602150537634408,0.0742324971788955,0.5516014234875445
Stocks,N50_ADANIPORTS,CatBoost,0.5301075268817205,0.06881720430107527,0.501779359430605
Stocks,N50_ADANIPORTS,XGBoost,0.5182795698924731,0.0742324971788955,0.47330960854092524
Stocks,N50_ADANIPORTS,LightGBM,0.5279569892473118,0.08927969356837448,0.4804270462633452
Stocks,N50_ADANIPORTS,RandomForest,0.5096774193548387,0.0992164935434174,0.4626334519572954
Stocks,N50_ADANIPORTS,LogisticRegression,0.4763440860215054,0.06173204341680568,0.5160142348754448
Stocks,N50_APOLLOHOSP,CatBoost,0.4655913978494624,0.06302946619248534,0.5587188612099644
Stocks,N50_APOLLOHOSP,XGBoost,0.4752688172043011,0.058362437613384575,0.5551601423487544
Stocks,N50_APOLLOHOSP,LightGBM,0.4827956989247312,0.06095930229272415,0.5516014234875445
Stocks,N50_APOLLOHOSP,RandomForest,0.5172043010752688,0.0945625413587985,0.5622775800711743
Stocks,N50_APOLLOHOSP,LogisticRegression,0.4494623655913979,0.08922787714290215,0.5373665480427047
Stocks,N50_ASIANPAINT,CatBoost,0.5225806451612903,0.03867979730882784,0.5658362989323843
Stocks,N50_ASIANPAINT,XGBoost,0.5021505376344086,0.047311827956989225,0.5088967971530249
Stocks,N50_ASIANPAINT,LightGBM,0.5129032258064516,0.06519357587623277,0.501779359430605
Stocks,N50_ASIANPAINT,RandomForest,0.5387096774193548,0.048969021663379346,0.505338078291815
Stocks,N50_ASIANPAINT,LogisticRegression,0.4688172043010753,0.03853004917670734,0.5124555160142349
Stocks,N50_AXISBANK,CatBoost,0.5483870967741935,0.03831941866925907,0.46619217081850534
Stocks,N50_AXISBANK,XGBoost,0.5505376344086022,0.0355977319510685,0.47330960854092524
Stocks,N50_AXISBANK,LightGBM,0.5344086021505376,0.04428228017628818,0.4555160142348754
Stocks,N50_AXISBANK,RandomForest,0.5344086021505376,0.03324650501879637,0.48398576512455516
Stocks,N50_AXISBANK,LogisticRegression,0.5064516129032258,0.0838709677419355,0.47686832740213525
Stocks,N50_BAJAJ-AUTO,CatBoost,0.4913978494623656,0.14816096217754957,0.5124555160142349
Stocks,N50_BAJAJ-AUTO,XGBoost,0.4946236559139786,0.13895535465935577,0.5124555160142349
Stocks,N50_BAJAJ-AUTO,LightGBM,0.4817204301075269,0.15658365635760513,0.5266903914590747
Stocks,N50_BAJAJ-AUTO,RandomForest,0.4763440860215054,0.1373905770261087,0.5516014234875445
Stocks,N50_BAJAJ-AUTO,LogisticRegression,0.4795698924731183,0.1303871517524655,0.505338078291815
Stocks,N50_BAJAJFINSV,CatBoost,0.46989247311827953,0.08415996528752472,0.5409252669039146
Stocks,N50_BAJAJFINSV,XGBoost,0.5043010752688172,0.0886950134507582,0.4555160142348754
Stocks,N50_BAJAJFINSV,LightGBM,0.4709677419354838,0.10979331848059193,0.498220640569395
Stocks,N50_BAJAJFINSV,RandomForest,0.4709677419354838,0.09134090572729163,0.501779359430605
Stocks,N50_BAJAJFINSV,LogisticRegression,0.4666666666666667,0.07621524794266388,0.5444839857651246
Stocks,N50_BAJFINANCE,CatBoost,0.553763440860215,0.057201875605464025,0.4697508896797153
Stocks,N50_BAJFINANCE,XGBoost,0.5483870967741935,0.07009895059357688,0.5088967971530249
Stocks,N50_BAJFINANCE,LightGBM,0.5354838709677419,0.06069318620073153,0.4483985765124555
Stocks,N50_BAJFINANCE,RandomForest,0.5075268817204301,0.07773234224485082,0.505338078291815
Stocks,N50_BAJFINANCE,LogisticRegression,0.5258064516129032,0.08476228892480153,0.5409252669039146
Stocks,N50_BHARTIARTL,CatBoost,0.4881720430107527,0.0946847310225863,0.5231316725978647
Stocks,N50_BHARTIARTL,XGBoost,0.4720430107526882,0.09745281772363182,0.4697508896797153
Stocks,N50_BHARTIARTL,LightGBM,0.4591397849462366,0.07935163323653802,0.49110320284697506
Stocks,N50_BHARTIARTL,RandomForest,0.4634408602150538,0.097808097129177,0.46619217081850534
Stocks,N50_BHARTIARTL,LogisticRegression,0.4516129032258065,0.08404998815424859,0.47686832740213525
Stocks,N50_BPCL,CatBoost,0.435483870967742,0.03801649361217998,0.498220640569395
Stocks,N50_BPCL,XGBoost,0.4483870967741936,0.07313409063712667,0.5195729537366548
Stocks,N50_BPCL,LightGBM,0.4526881720430108,0.05632602517724212,0.5302491103202847
Stocks,N50_BPCL,RandomForest,0.446236559139785,0.05408505952670662,0.5338078291814946
Stocks,N50_BPCL,LogisticRegression,0.4827956989247312,0.07882534541123119,0.46619217081850534
Stocks,N50_BRITANNIA,CatBoost,0.5096774193548387,0.024614028262923842,0.42704626334519574
Stocks,N50_BRITANNIA,XGBoost,0.4946236559139785,0.04446467339383945,0.5231316725978647
Stocks,N50_BRITANNIA,LightGBM,0.4913978494623656,0.025581456458860893,0.5551601423487544
Stocks,N50_BRITANNIA,RandomForest,0.5182795698924731,0.03703048464026358,0.5444839857651246
Stocks,N50_BRITANNIA,LogisticRegression,0.5172043010752688,0.019943265581711174,0.5765124555160143
Stocks,N50_CIPLA,CatBoost,0.5193548387096774,0.04117030047113258,0.47330960854092524
Stocks,N50_CIPLA,XGBoost,0.5204301075268817,0.03523864431865365,0.505338078291815
